Fornavn,Etternavn,Fødselsdato,Arbeidsområde,Telefon,Kontor
Stian,Nymo,1985-05-25,Terminaldrift,+1-555-0141,BOD-1.03
Hanna,Brekke,1997-02-07,Lokal distribusjon,+1-555-0142,BOD-1.06
Olav,Walseth,1979-10-30,Returhåndtering,+1-555-0143,BOD-1.11
Amalie,Borge,1994-09-12,Vedlikehold,+1-555-0144,BOD-2.02
Isak,Engen,1992-01-21,Lokal distribusjon,+1-555-0145,BOD-1.08
Vilde,Andreassen,1999-03-03,Terminaldrift,+1-555-0146,BOD-1.04
Khaled,Saleh,1988-06-19,Lokal distribusjon,+1-555-0147,BOD-1.13
Frida,Larsen,1996-12-01,Returhåndtering,+1-555-0148,BOD-1.01
Per,Sandvik,1983-07-08,Vedlikehold,+1-555-0149,BOD-2.05
Sondre,Eliassen,2001-11-23,Lokal distribusjon,+1-555-0150,BOD-1.10
Mina,Hoel,1990-04-15,Terminaldrift,+1-555-0151,BOD-1.02
